ProductId,Gender,ColorGroup,ProductType
659503,erkek,gri,mont
659714,erkek,mavi,kazak
659806,kadin,yesil,t-shirt
659882,erkek,bej,bot
660123,erkek,yesil,sweatshirt
660415,kadin,kahverengi,kazak
660472,erkek,beyaz,mont
660488,erkek,siyah,yelek
660558,erkek,bordo,mont
660570,erkek,bordo,sweatshirt
660786,kadin,bej,sweatshirt
660933,kadin,kahverengi,hirka
660938,kadin,bej,kazak
661009,kadin,gri,kazak
661047,erkek,kahverengi,takim-elbise
661172,kadin,yesil,bot
661174,erkek,beyaz,bot
661470,erkek,gri,bot
661488,erkek,beyaz,ceket
661543,erkek,gri,bot
661608,kadin,gri,bot
661709,kadin,yesil,bot
661712,kadin,yesil,bot
661794,kadin,gri,yelek
661835,kadin,bej,spor-ayakkabi
661859,kadin,kahverengi,bot
661911,kadin,bordo,bot
661918,kadin,bordo,bot
661926,kadin,gri,bot
662006,erkek,mavi,esofman-alti
662049,erkek,bordo,pantolon
662098,kadin,gri,atlet
662100,kadin,gri,atlet
662111,kadin,lacivert,tayt
662113,kadin,yesil,tayt
662139,kadin,yesil,tulum
662153,kadin,bordo,bot
662157,kadin,kahverengi,bot
662190,kadin,bordo,bot
662542,erkek,kahverengi,yelek
662647,erkek,kahverengi,yelek
662807,erkek,yesil,bot
662822,kadin,bordo,yelek
663002,kadin,beyaz,bot
663003,kadin,beyaz,bot
663069,kadin,gri,bot
663361,kadin,lacivert,sweatpant
663375,kadin,lacivert,tayt
663416,kadin,lacivert,t-shirt
663542,erkek,kahverengi,mont
663550,kadin,kahverengi,tayt
663552,kadin,lacivert,tayt
663714,erkek,kahverengi,yelek
663719,erkek,bordo,sweatshirt
663853,erkek,kahverengi,mont
663854,kadin,yesil,lifestyle-ayakkabi
663962,erkek,bej,kazak
664017,kadin,bordo,etek
664047,erkek,beyaz,mont
664070,erkek,kahverengi,ceket
664167,kadin,mavi,tayt
664168,kadin,kahverengi,tayt
664380,erkek,kahverengi,t-shirt
664558,erkek,mavi,mont
664622,erkek,beyaz,mont
664712,kadin,bej,bot
664883,erkek,mavi,esofman-alti
664888,kadin,gri,esofman-alti
664910,erkek,bordo,sweatshirt
664952,kadin,kahverengi,etek
665157,kadin,yesil,t-shirt
665165,kadin,yesil,tayt
665168,kadin,yesil,tayt
665172,kadin,yesil,zip-ceket
665173,kadin,mavi,zip-ceket
665320,erkek,yesil,mont
665467,kadin,siyah,t-shirt
665475,kadin,siyah,sort
665953,erkek,beyaz,sweatshirt
665967,erkek,kahverengi,pantolon
666019,kadin,yesil,elbise
666828,erkek,beyaz,kazak
666846,erkek,gri,mont
666940,kadin,beyaz,tayt
667040,erkek,kahverengi,mont
667066,erkek,bej,kazak
667068,erkek,gri,mont
667070,erkek,kahverengi,mont
667074,erkek,yesil,sweatshirt
667250,erkek,bordo,pantolon
667343,erkek,bej,pantolon
667344,erkek,bej,pantolon
667347,erkek,beyaz,sort
667368,kadin,bordo,lifestyle-ayakkabi
667490,kadin,siyah,tulum
667629,kadin,kahverengi,elbise
667712,erkek,yesil,sweatpant
667754,erkek,bej,pantolon
667755,erkek,bej,pantolon
668421,erkek,beyaz,sweatshirt
668423,erkek,beyaz,sweatshirt
668470,kadin,siyah,tayt
668481,kadin,lacivert,esofman-alti
668567,kadin,gri,sweatshirt
668643,kadin,lacivert,lifestyle-ayakkabi
668662,kadin,lacivert,sweatshirt
668676,kadin,lacivert,sweatshirt
668807,erkek,lacivert,atlet
668940,kadin,siyah,sort
669081,kadin,bej,sort
669195,kadin,gri,esofman-alti
669212,erkek,mavi,sweatshirt
669558,kadin,yesil,jean-pantolon
669578,kadin,yesil,sweatshirt
669618,kadin,mavi,tayt
669670,kadin,gri,etek
669726,kadin,gri,sweatpant
669746,kadin,siyah,atlet
669747,kadin,mavi,atlet
669748,kadin,siyah,atlet
669754,kadin,kahverengi,tayt
669755,kadin,mavi,tayt
669912,erkek,bordo,pantolon
669914,erkek,siyah,pantolon
670009,erkek,bej,mont
670142,kadin,beyaz,atlet
670155,kadin,bordo,lifestyle-ayakkabi
670194,kadin,siyah,atlet
670195,kadin,yesil,sweatshirt
670199,kadin,yesil,sort
670200,kadin,yesil,t-shirt
670206,kadin,gri,tayt
670211,kadin,yesil,esofman-alti
670220,kadin,yesil,zip-ceket
670231,kadin,mavi,t-shirt
670248,erkek,bej,pantolon
670273,erkek,bej,lifestyle-ayakkabi
670313,kadin,bej,lifestyle-ayakkabi
670467,kadin,lacivert,esofman-alti
670570,erkek,bordo,pantolon
670578,erkek,bej,sort
670580,erkek,siyah,sort
670598,erkek,yesil,sweatshirt
670834,kadin,bej,pantolon
670909,erkek,beyaz,sweatshirt
670916,kadin,gri,sweatshirt
670918,kadin,siyah,sweatshirt
670919,kadin,gri,sweatshirt
670948,kadin,gri,t-shirt
670958,kadin,mavi,t-shirt
670963,kadin,mavi,tayt
670966,kadin,siyah,tayt
670968,kadin,siyah,tayt
670973,erkek,beyaz,esofman-alti
670982,kadin,beyaz,esofman-alti
670988,kadin,siyah,zip-ceket
670990,kadin,gri,zip-ceket
670992,kadin,siyah,zip-ceket
671005,kadin,yesil,lifestyle-ayakkabi
671045,kadin,yesil,lifestyle-ayakkabi
671535,kadin,yesil,sweatshirt
672061,erkek,yesil,esofman-alti
672862,kadin,bej,babet
672879,kadin,gri,ceket
672885,kadin,mavi,sort
672907,kadin,yesil,jean-pantolon
673244,kadin,yesil,spor-ayakkabi
673363,erkek,gri,pantolon
673791,kadin,gri,elbise
673822,kadin,beyaz,tayt
673868,kadin,beyaz,sweatshirt
673880,kadin,yesil,sweatshirt
674288,kadin,bordo,jean-pantolon
674291,kadin,bordo,etek
674418,erkek,yesil,t-shirt
674428,erkek,lacivert,t-shirt
674641,erkek,yesil,ceket
674651,kadin,bej,babet
674657,kadin,mavi,babet
674681,kadin,kahverengi,bluz
674896,erkek,lacivert,sweatshirt
675254,kadin,beyaz,babet
675255,kadin,beyaz,babet
675274,kadin,yesil,ayakkabi
675294,kadin,kahverengi,lifestyle-ayakkabi
675309,kadin,bej,lifestyle-ayakkabi
675557,erkek,lacivert,sweatpant
675562,erkek,lacivert,sweatshirt
675563,erkek,yesil,sweatshirt
676168,erkek,bordo,ayakkabi
676199,erkek,mavi,gomlek
676399,erkek,kahverengi,lifestyle-ayakkabi
676404,erkek,kahverengi,lifestyle-ayakkabi
676784,erkek,beyaz,mont
677062,kadin,mavi,ceket
677222,erkek,bordo,lifestyle-ayakkabi
677481,erkek,gri,sort
677501,kadin,kahverengi,atlet
677571,kadin,yesil,ayakkabi
677767,kadin,yesil,lifestyle-ayakkabi
677769,kadin,bej,lifestyle-ayakkabi
677770,kadin,bordo,lifestyle-ayakkabi
677798,erkek,bordo,ceket
677801,erkek,beyaz,mont
677818,erkek,siyah,mont
678152,erkek,bej,lifestyle-ayakkabi
678171,erkek,bordo,lifestyle-ayakkabi
678222,kadin,yesil,etek
678250,erkek,bordo,sort
678273,erkek,yesil,pantolon
678346,erkek,mavi,pantolon
678680,kadin,lacivert,lifestyle-ayakkabi
678681,kadin,lacivert,lifestyle-ayakkabi
678707,kadin,gri,babet
678816,erkek,siyah,lifestyle-ayakkabi
678817,kadin,lacivert,lifestyle-ayakkabi
679094,erkek,yesil,mont
679095,erkek,bej,mont
679098,erkek,yesil,pantolon
679108,kadin,gri,tayt
679168,erkek,yesil,sweatshirt
679187,erkek,siyah,mont
679192,erkek,bej,ceket
679254,kadin,siyah,yelek
679504,erkek,bordo,ceket
679505,erkek,bej,ceket
679506,erkek,gri,ceket
679688,erkek,mavi,mont
679692,erkek,mavi,mont
679702,erkek,siyah,mont
679720,kadin,gri,t-shirt
679753,kadin,mavi,outdoor-ayakkabi
679757,erkek,kahverengi,outdoor-ayakkabi
679876,erkek,beyaz,yelek
679917,erkek,kahverengi,ayakkabi
679936,erkek,mavi,lifestyle-ayakkabi
680062,kadin,lacivert,babet
680067,kadin,bej,babet
680271,kadin,yesil,etek
680299,erkek,bej,sweatshirt
680300,erkek,lacivert,sweatshirt
680303,erkek,bej,sweatshirt
680304,erkek,lacivert,sweatshirt
680307,erkek,gri,sweatshirt
680308,erkek,mavi,sweatshirt
680350,erkek,bordo,t-shirt
680405,erkek,gri,ceket
680443,erkek,yesil,pantolon
680548,kadin,siyah,babet
680617,erkek,siyah,pantolon
680658,erkek,bej,pantolon
680717,kadin,siyah,atlet
680723,kadin,kahverengi,esofman-alti
680725,kadin,beyaz,t-shirt
680727,kadin,gri,t-shirt
680728,erkek,bej,lifestyle-ayakkabi
680755,kadin,lacivert,lifestyle-ayakkabi
680771,erkek,mavi,lifestyle-ayakkabi
681117,erkek,gri,ceket
681149,erkek,kahverengi,t-shirt
681370,kadin,siyah,babet
681371,kadin,beyaz,babet
681379,kadin,siyah,babet
681605,kadin,siyah,tayt
681657,kadin,beyaz,ceket
681683,kadin,siyah,bra
681739,kadin,mavi,t-shirt
681773,kadin,beyaz,etek
681799,kadin,mavi,elbise
681800,kadin,beyaz,pantolon
681860,kadin,yesil,ayakkabi
681932,kadin,siyah,esofman-alti
681934,kadin,siyah,esofman-alti
681935,kadin,siyah,esofman-alti
681936,kadin,siyah,esofman-alti
681937,kadin,beyaz,esofman-alti
681945,kadin,mavi,lifestyle-ayakkabi
681955,erkek,bordo,lifestyle-ayakkabi
681956,kadin,beyaz,lifestyle-ayakkabi
681982,erkek,gri,lifestyle-ayakkabi
681983,erkek,yesil,lifestyle-ayakkabi
682062,erkek,siyah,atlet
682063,erkek,siyah,atlet
682064,erkek,siyah,atlet
682065,erkek,gri,atlet
682155,kadin,bej,spor-ayakkabi
682170,kadin,bej,spor-ayakkabi
682172,kadin,bej,spor-ayakkabi
682194,kadin,beyaz,babet
682427,erkek,bej,ceket
682502,erkek,beyaz,sort
682508,erkek,lacivert,sort
684806,erkek,kahverengi,t-shirt
